# Thx to Kaido Järvemets for the Defender Scid Explorer
# SRC: https://docs.kaidojarvemets.com/defender-scid-explorer
SCID,Platform,Configuration Name,Function,Compliant Value,Non-Compliant Value,Cross-Platform SCIDs,Description
"scid-2513","Windows","Block Adobe Reader from creating child processes","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule prevents Adobe Reader from creating additional child processes. This security control is only applicable for machines with Windows 10, version 1709 or later, and Windows Server 2019."
"scid-2514","Windows","Block persistence through WMI event subscription","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule allows admins to have more control over WMI repository persistence. This security control is only applicable for machines with Windows 10, version 1903 or later, and Windows Server 2019."
"scid-2515","Windows","Block abuse of exploited vulnerable signed drivers","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule prevents an application from writing a vulnerable signed driver to disk. This security control is only applicable for machines with Windows 10, version 1709 or later, and Windows Server 2019."
"scid-2517","Windows","Block use of copied or impersonated system tools","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule blocks the use of executable files that are identified as copies of Windows system tools. These files are either duplicates or impostors of the original system tools. This rule prevents propagation and execution of such duplicates and impostors of the system tools on Windows machines."
"scid-2518","Windows","Block rebooting machine in Safe Mode","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This rule prevents the execution of commands to restart machines in Safe Mode. Safe Mode is a diagnostic mode that only loads the essential files and drivers needed for Windows to run. This ASR rule blocks processes from restarting machines in Safe Mode."
"scid-3001","Windows","Fix unquoted service path for Windows services","Services","Working","Issues","","Determines the existence on the machine of one or more services, which are configured with a path to executable that contains spaces and also isn't surrounded by quotation marks.."
"scid-3002","Windows","Change service executable path to a common protected location","Services","Compliant","Non-Compliant","","Determines the existence on the machine of one or more services, which are configured with a path to executable that is stored in an uncommon/unprotected folder location."
"scid-3003","Windows","Change service account to avoid cached password in windows registry","Services","Compliant","Non-Compliant","","Determines the existence on the machine of one or more services, which are configured to run with account that stores its password in reversible encryption in the registry."
"scid-3010","Windows","Disable the built-in Administrator account","Accounts","Disabled","Enabled","","Determines whether the built-in Administrator account is disabled."
"scid-3011","Windows","Disable the built-in Guest account","Accounts","Disabled","Enabled","","Determines whether the built-in Guest account is disabled."
"scid-5001","macOS","Fix Microsoft Defender for Endpoint sensor data collection in macOS","Sensor Data Collection","Working","Issues","scid-2001;scid-6001","Ensures proper data collection from the Defender for Endpoint sensor on macOS"
"scid-5002","macOS","Fix Microsoft Defender for Endpoint impaired communications in macOS","Impaired Communications","Good","Impaired","scid-2002;scid-6002","Resolves communication issues between macOS endpoint and Defender cloud service"
"scid-5007","macOS","Turn on Firewall in macOS","Firewall Enabled","On","Off","scid-2070","Enables the built-in macOS firewall protection"
"scid-5090","macOS","Turn on Microsoft Defender Antivirus real-time protection in macOS","Realtime Protection","On","Off","scid-2012;scid-6090","Enables continuous monitoring and scanning on macOS systems"
"scid-5091","macOS","Turn on Microsoft Defender Antivirus PUA protection in block mode in macOS","PUA Protection","Blocking","Off","scid-2013;scid-6091","Blocks potentially unwanted applications on macOS systems"
"scid-5092","macOS","Turn on Tamper Protection for MacOS","Tamper Protection","On","Off","scid-2003","Prevents unauthorized modification of security settings on macOS"
"scid-5094","macOS","Enable Microsoft Defender Antivirus cloud-delivered protection in macOS","Cloud Protection","Enabled","Disabled","scid-2016;scid-6094","Leverages Microsoft cloud intelligence for enhanced threat detection on macOS"
"scid-5095","macOS","Update Microsoft Defender Antivirus definitions in macOS","AV Definitions Updated","Updated","Outdated","scid-2011;scid-6095","Ensures antivirus signatures are current on macOS systems"
"scid-6001","Linux","Fix Microsoft Defender for Endpoint sensor data collection for Linux","EDR","Working","Issues","scid-2001","The Microsoft Defender for Endpoint service relies on sensor data collection to determine the security state of a machine."
"scid-6002","Linux","Fix Microsoft Defender for Endpoint impaired communications for Linux","EDR","Working","Issues","scid-2002","This status indicates that there's limited communication between the machine and the Microsoft Defender for Endpoint service."
"scid-6014","Linux","Unrestricted Access Accounts for Linux","OS","Compliant","Non-Compliant","","This settings makes sure that only ""root"" will have unrestricted access."
"scid-6090","Linux","Turn on Microsoft Defender Antivirus real-time protection for Linux","Antivirus","Enabled","Disabled","","This status indicates that Microsoft Defender Antivirus real-time protection is disabled or Microsoft Defender Antivirus is not in passive mode."
"scid-6091","Linux","Turn on Microsoft Defender Antivirus PUA protection in block mode for Linux","Antivirus","Enabled","Disabled","","Enabling Potentially Unwanted Application (PUA) protection in block mode will block and automatically quarantine potentially unwanted applications. PUA protection blocking takes effect on endpoint clients after the next signature update or computer restart."
"scid-6094","Linux","Enable Microsoft Defender Antivirus cloud-delivered protection for Linux","Antivirus","Enabled","Disabled","","Indicates that Microsoft Defender Antivirus cloud-delivered protection is not enabled. Cloud-delivered protection service provides very important protection against malware on your endpoints and across your network. Learn more about cloud-delivered protection"
"scid-6095","Linux","Update Microsoft Defender Antivirus definitions for Linux","Antivirus","Updated","Outdated","scid-2011","This status indicates that Microsoft Defender Antivirus definitions are not up to date."
"scid-6100","Windows","Enable 'Microsoft Defender for Endpoint Plug-in for WSL'","EDR","Enabled","Disabled","","The Windows Subsystem for Linux (WSL) 2, which replaces the previous version of WSL (supported by Microsoft Defender for Endpoint without a plug-in), provides a Linux environment that is seamlessly integrated with Windows yet isolated using virtualization technology. The MDE plug-in for WSL enables Defender for Endpoint to provide more visibility into all running WSL containers, by plugging into the isolated subsystem."
"scid-6101","Windows","Turn off custom kernel/commandline in Windows Subsystem for Linux","EDR","Disabled","Enabled","","Microsoft Defender for Endpoint plug-in for WSL does not support use of custom kernel/commandline in WSL2."
"scid-10000","Linux","Disable insecure administration protocol – Telnet","Network","Disabled","Enabled","","Devices using Telnet are exposed to malicious threats because Telnet is not a secure and encrypted communication protocol. Use secure protocols such as SSH to administer devices."
"scid-10001","Linux","Require authentication for Telnet management interface","Network","Configured","Not Configured","","Telnet as a management interface allows admins to remotely manage devices. Without an authentication requirement, any user who has network access to these devices may compromise them. Update the device configuration to require authentication."
"scid-10002","Linux","Remove insecure administration protocols SNMP V1 and SNMP V2","Network","Compliant","Non-Compliant","","Devices using SNMP V1 or V2 are vulnerable because SNMP V1 and V2 are not encrypted or secure communication protocols. Use a secure protocol such as SNMP V3 to administer devices."
"scid-10003","Linux","Require authentication for VNC management interface","Network","Configured","Not Configured","","VNC as a management interface allows admins to remotely manage devices. Without an authentication requirement, any user who has network access to these devices may compromise them. Update the device configuration to require authentication."
"scid-20000","Android","Onboard devices to Microsoft Defender for Endpoint","Onboard Devices","Compliant","Non-Compliant","","Ensures that discovered devices in your network are protected by an endpoint security solution. Onboarding devices increases visibility and control of networks."
